# MEAN_SAMPLE_SIZE = 321
GENE_SET       NGENES           MU            P
R-HSA-4641265       7     -0.07116      0.57467
R-HSA-9825892       4     -0.17004       0.6331
R-HSA-9834899       2     -0.47113      0.74738
R-HSA-162588        4      0.30673      0.28884
R-HSA-5620971       3       0.5361      0.20835
R-HSA-917729        5      0.16965      0.36258
R-HSA-9610379       9    -0.095649      0.60853
R-HSA-9615710       5      0.35398      0.23159
R-HSA-9668328       2        1.291     0.070895
R-HSA-9679504       2        1.291     0.070895
R-HSA-9694676       2        1.291     0.070895
R-HSA-72706         7      0.65572     0.042568
R-HSA-1368108       8      0.33131      0.17436
R-HSA-1989781      19     -0.10644      0.67846
R-HSA-400253        9      0.33371      0.15838
R-HSA-9707616       7      0.21858      0.28153
R-HSA-156827        6      0.47313      0.12324
R-HSA-156902        3      0.32731      0.28539
R-HSA-192823        3      0.32731      0.28539
R-HSA-2408557       5      0.36652      0.20623
R-HSA-6791226       8      0.46084     0.096212
R-HSA-72689         5      0.43297      0.16649
R-HSA-72764         3      0.32731      0.28539
R-HSA-9633012       6      0.09652      0.40655
R-HSA-975956        4     0.045328      0.46388
R-HSA-425986        2       1.4118     0.022936
R-HSA-186763        4    -0.047617      0.53794
R-HSA-428540        5     0.033579      0.47007
R-HSA-4420097      13      0.42064      0.06468
R-HSA-8985801       4      0.18674      0.35485
R-HSA-159231        8     -0.49469      0.91912
R-HSA-72203         7      0.27931      0.23018
R-HSA-77595         4   -0.0033933      0.50271
R-HSA-112382        8      0.74751     0.017246
R-HSA-113418        5      0.64193     0.075586
R-HSA-167152        6      0.83192     0.020785
R-HSA-167158        5      0.64193     0.075586
R-HSA-167160        4       1.0026     0.022475
R-HSA-167161        5       0.8562     0.027776
R-HSA-167162        5       0.8562     0.027776
R-HSA-167172        5       0.8562     0.027776
R-HSA-167200        6      0.83192     0.020785
R-HSA-167238        2        1.874    0.0040225
R-HSA-167242        2      0.58271      0.20495
R-HSA-167243        2        1.874    0.0040225
R-HSA-167246        5       1.1584    0.0047942
R-HSA-167287        2        1.874    0.0040225
R-HSA-167290        2        1.874    0.0040225
R-HSA-168325        6      0.02699      0.47364
R-HSA-674695        9      0.69454     0.018598
R-HSA-6796648       7      0.68137     0.035715
R-HSA-6803529       3     0.058775      0.45946
R-HSA-72086         5      0.64193     0.075586
R-HSA-72165         2      0.58271      0.20495
R-HSA-73776         5       0.8562     0.027776
R-HSA-73779         5       0.8562     0.027776
R-HSA-75953         5       0.8562     0.027776
R-HSA-75955         7      0.96867    0.0051907
R-HSA-76042         5       0.8562     0.027776
R-HSA-77075         4       1.0026     0.022475
R-HSA-8851708       3      0.32451      0.28703
R-HSA-9670095       3      0.70936       0.1096
R-HSA-975577        6    -0.098729      0.59555
