# MEAN_SAMPLE_SIZE = 321
# TOTAL_GENES = 3123
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
R-HSA-9845614       SET       5      0.94453     0.037769       0.5202     0.034758
R-HSA-166665        SET       3      -0.8433    -0.026129      0.65011      0.90266
R-HSA-977606        SET       9     -0.94793    -0.050822      0.37588      0.99414
R-HSA-8866376       SET       3      0.42185     0.013071      0.67178      0.26504
R-HSA-5689901       SET       4      0.70599     0.025254      0.57936      0.11155
R-HSA-73980         SET       4       0.9457     0.033829      0.58057     0.051717
R-HSA-749476        SET       7      0.71535     0.033835      0.43969     0.051928
R-HSA-9013148       SET      43    -0.048357   -0.0056359       0.1759       0.6083
R-HSA-9013149       SET      54     0.031295    0.0040801      0.15769      0.42135
R-HSA-3322077       SET       2      -1.0452    -0.026447      0.82079      0.89852
R-HSA-1059683       SET       3     -0.87272     -0.02704      0.67189      0.90296
R-HSA-110056        SET       3     -0.87272     -0.02704      0.67189      0.90296
R-HSA-112411        SET       3     -0.87272     -0.02704      0.67189      0.90296
R-HSA-1266695       SET       2     -0.43014    -0.010883      0.82153       0.6997
R-HSA-5673001       SET      30      0.20973      0.02046      0.20286      0.15064
R-HSA-6783783       SET       2      -0.5454      -0.0138       1.0408      0.69985
R-HSA-6785807       SET       9      -0.4138    -0.022186      0.38859      0.85649
R-HSA-6788467       SET       3     -0.44279    -0.013719      0.67122      0.74524
R-HSA-877300        SET       9      0.19084     0.010231      0.34913      0.29234
R-HSA-877312        SET       2     -0.63362    -0.016032      0.82256      0.77941
R-HSA-8983432       SET       3      -1.2122    -0.037559      0.67131      0.96447
R-HSA-8984722       SET       2       -1.351    -0.034184      0.82171      0.94988
R-HSA-9020591       SET       2      -1.3302    -0.033658      0.73108      0.96554
R-HSA-9020956       SET       2       -1.351    -0.034184      0.82171      0.94988
R-HSA-909733        SET       6      0.25421     0.011134      0.47549      0.29647
R-HSA-912694        SET       2     -0.63362    -0.016032      0.82256      0.77941
R-HSA-9674555       SET       4      -1.3911    -0.049763      0.58152       0.9916
R-HSA-9705671       SET      16     -0.33173    -0.023687      0.29118      0.87265
R-HSA-9833109       SET       3     -0.52966    -0.016411       0.6723      0.78457
R-HSA-2586552       SET       2    -0.084473   -0.0021374      0.82315      0.54087
R-HSA-180024        SET       6     -0.34594    -0.015151      0.50399      0.75375
R-HSA-6804114       SET       2     -0.28557   -0.0072256      0.82033      0.63611
R-HSA-9617828       SET       3      0.24752    0.0076691      0.67043        0.356
R-HSA-1296041       SET       7      0.60309     0.028525      0.43874     0.084679
R-HSA-163359        SET       6    -0.066219   -0.0029002      0.47329      0.55563
R-HSA-202040        SET       6      0.36351     0.015921      0.47412      0.22166
R-HSA-381676        SET       8      0.49015      0.02478      0.41085      0.11648
R-HSA-392170        SET       5      0.98056      0.03921      0.51841      0.02933
R-HSA-392451        SET       5       0.1118    0.0044708      0.51731      0.41445
R-HSA-392851        SET       4      0.58067     0.020771      0.57917      0.15807
R-HSA-400042        SET       7      0.92712     0.043851       0.4387     0.017328
R-HSA-416476        SET      25     0.021008    0.0018724      0.23398      0.46423
R-HSA-416482        SET      24    -0.062105   -0.0054243      0.22869      0.60701
R-HSA-418217        SET       5      0.34297     0.013714      0.51852      0.25419
